dataset,n_subjects,n_records,n_tasks,modality of exp,type of exp,Type Subject,duration_hours_total,size,size_bytes,source,dataset_title,record_modality,nchans_set,sampling_freqs,license,doi
EEG2025r1,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1342}]","[{""val"": 100.0, ""count"": 1342}]",CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1
EEG2025r10,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 2516}]","[{""val"": 100.0, ""count"": 2516}]",CC-BY-SA 4.0,
EEG2025r10mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 10 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 220}]","[{""val"": 100.0, ""count"": 220}]",CC-BY-SA 4.0,
EEG2025r11,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 3397}]","[{""val"": 100.0, ""count"": 3397}]",CC-BY-SA 4.0,
EEG2025r11mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 11 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 220}]","[{""val"": 100.0, ""count"": 220}]",CC-BY-SA 4.0,
EEG2025r1mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 1 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 239}]","[{""val"": 100.0, ""count"": 239}]",CC-BY-SA 4.0,10.18112/openneuro.ds005505.v1.0.1
EEG2025r2,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1405}]","[{""val"": 100.0, ""count"": 1405}]",CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1
EEG2025r2mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 2 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005506.v1.0.1
EEG2025r3,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1812}]","[{""val"": 100.0, ""count"": 1812}]",CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1
EEG2025r3mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 3 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005507.v1.0.1
EEG2025r4,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 4 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 3342}]","[{""val"": 100.0, ""count"": 3342}]",CC-BY-SA 4.0,10.18112/openneuro.ds005508.v1.0.1
EEG2025r4mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 4 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005508.v1.0.1
EEG2025r5,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 5 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 3326}]","[{""val"": 100.0, ""count"": 3326}]",CC-BY-SA 4.0,10.18112/openneuro.ds005509.v1.0.1
EEG2025r5mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 5 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 240}]","[{""val"": 100.0, ""count"": 240}]",CC-BY-SA 4.0,10.18112/openneuro.ds005509.v1.0.1
EEG2025r6,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 6 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 1227}]","[{""val"": 100.0, ""count"": 1227}]",CC-BY-SA 4.0,10.18112/openneuro.ds005510.v1.0.1
EEG2025r6mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 6 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 237}]","[{""val"": 100.0, ""count"": 237}]",CC-BY-SA 4.0,10.18112/openneuro.ds005510.v1.0.1
EEG2025r7,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 7 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 3090}, {""val"": 6, ""count"": 10}]","[{""val"": 100.0, ""count"": 3100}]",CC-BY-SA 4.0,10.18112/openneuro.ds005511.v1.0.1
EEG2025r7mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 7 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 239}]","[{""val"": 100.0, ""count"": 239}]",CC-BY-SA 4.0,10.18112/openneuro.ds005511.v1.0.1
EEG2025r8,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 8 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 2320}]","[{""val"": 100.0, ""count"": 2320}]",CC-BY-SA 4.0,10.18112/openneuro.ds005512.v1.0.1
EEG2025r8mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 8 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 238}]","[{""val"": 100.0, ""count"": 238}]",CC-BY-SA 4.0,10.18112/openneuro.ds005512.v1.0.1
EEG2025r9,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 9 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 2885}]","[{""val"": 100.0, ""count"": 2885}]",CC-BY-SA 4.0,10.18112/openneuro.ds005514.v1.0.1
EEG2025r9mini,0,0,0,,Unknown,Unknown,0,Unknown,,nemar,Healthy Brain Network (HBN) EEG - Release 9 (BDF Converted),['eeg'],"[{""val"": 129, ""count"": 237}]","[{""val"": 100.0, ""count"": 237}]",CC-BY-SA 4.0,10.18112/openneuro.ds005514.v1.0.1
ds000117,0,0,0,,Unknown,Unknown,0,Unknown,94108833435.0,openneuro,"Multisubject, multimodal face processing",meg,"[{""val"": 394, ""count"": 96}, {""val"": null, ""count"": 8}]","[{""val"": 1100.0, ""count"": 96}, {""val"": null, ""count"": 8}]",CC0,doi:10.18112/openneuro.ds000117.v1.1.0
ds000246,0,0,0,,Unknown,Unknown,0,Unknown,2457671893.0,openneuro,MEG-BIDS Brainstorm data sample,meg,"[{""val"": null, ""count"": 11}, {""val"": 340, ""count"": 2}, {""val"": 301, ""count"": 1}]","[{""val"": null, ""count"": 11}, {""val"": 2400.0, ""count"": 3}]",CC0,doi:10.18112/openneuro.ds000246.v1.0.1
ds000247,0,0,0,,Unknown,Unknown,0,Unknown,11024087953.0,openneuro,MEG-BIDS OMEGA RestingState_sample,meg,"[{""val"": null, ""count"": 30}, {""val"": 297, ""count"": 5}, {""val"": 330, ""count"": 3}, {""val"": 300, ""count"": 2}]","[{""val"": null, ""count"": 30}, {""val"": 2400.0, ""count"": 10}]",CC0,doi:10.18112/openneuro.ds000247.v1.0.2
ds000248,0,0,0,,Unknown,Unknown,0,Unknown,186216741.0,openneuro, ,meg,"[{""val"": 376, ""count"": 1}, {""val"": null, ""count"": 1}, {""val"": 315, ""count"": 1}]","[{""val"": 600.614990234375, ""count"": 2}, {""val"": null, ""count"": 1}]",CC0,10.18112/openneuro.ds000248.v1.2.4
ds001785,0,0,0,,Unknown,Unknown,0,Unknown,29916076214.0,openneuro,Evidence accumulation relates to perceptual consciousness and monitoring,['eeg'],"[{""val"": 71, ""count"": 54}]","[{""val"": 1024.0, ""count"": 53}, {""val"": 1000.0, ""count"": 1}]",CC0,10.18112/openneuro.ds001785.v1.1.1
ds001787,0,0,0,,Unknown,Unknown,0,Unknown,6112012191.0,openneuro,EEG meditation study,eeg,"[{""val"": 64, ""count"": 40}]","[{""val"": 256.0, ""count"": 40}]",CC0,doi:10.18112/openneuro.ds001787.v1.1.1
ds001810,0,0,0,,Unknown,Unknown,0,Unknown,49117378796.0,openneuro,"EEG study of the attentional blink; before, during, and after transcranial Direct Current Stimulation (tDCS)",eeg,"[{""val"": 73, ""count"": 263}]","[{""val"": 512.0, ""count"": 263}]",CC0,10.18112/openneuro.ds001810.v1.1.0
ds001849,0,0,0,,Unknown,Unknown,0,Unknown,47790430570.0,openneuro,RS_TMSEEG_Data,eeg,"[{""val"": 30, ""count"": 120}]","[{""val"": 5000.0, ""count"": 120}]",CC0,10.18112/openneuro.ds001849.v1.0.2
ds001971,0,0,0,,Unknown,Unknown,0,Unknown,34339201028.0,openneuro,Audiocue walking study,eeg,"[{""val"": 115, ""count"": 206}, {""val"": 112, ""count"": 67}]","[{""val"": 512.0, ""count"": 273}]",Creative commons,10.18112/openneuro.ds001971.v1.1.1
ds002001,0,0,0,,Unknown,Unknown,0,Unknown,87694131395.0,openneuro,Rivalry_Tagging,meg,"[{""val"": null, ""count"": 155}]","[{""val"": null, ""count"": 86}, {""val"": 2400.0, ""count"": 69}]",PD,10.18112/openneuro.ds002001.v1.0.0
ds002034,0,0,0,,Unknown,Unknown,0,Unknown,10842685064.0,openneuro,Real-time EEG feedback on alpha power lateralization leads to behavioral improvements in a covert attention task,['eeg'],"[{""val"": 81, ""count"": 167}]","[{""val"": 512.0, ""count"": 167}]",CC0,doi:10.18112/openneuro.ds002034.v1.0.3
ds002094,0,0,0,,Unknown,Unknown,0,Unknown,42339775606.0,openneuro,Single-pulse open-loop TMS-EEG dataset,eeg,"[{""val"": 30, ""count"": 43}]","[{""val"": 5000.0, ""count"": 43}]",CC0,
ds002158,0,0,0,,Unknown,Unknown,0,Unknown,82185122527.0,openneuro,Disentangling the origins of confidence in speeded perceptual judgments through multimodal imaging,eeg,"[{""val"": 64, ""count"": 117}]","[{""val"": 5000.0, ""count"": 117}]",CC0,10.18112/openneuro.ds002158.v1.0.2
ds002181,0,0,0,,Unknown,Unknown,0,Unknown,158522955.0,openneuro,CRYPTO and PROVIDE EEG Baseline Data,['eeg'],"[{""val"": 125, ""count"": 226}]","[{""val"": 500.0, ""count"": 226}]",CC0,mockDOI
ds002218,0,0,0,,Unknown,Unknown,0,Unknown,2089143297.0,openneuro,Auditory and Visual Rhythm Omission EEG,eeg,"[{""val"": 32, ""count"": 18}]","[{""val"": 256.0, ""count"": 18}]",CC0,mockDOI
ds002312,0,0,0,,Unknown,Unknown,0,Unknown,36600686939.0,openneuro,OcularLDT,meg,"[{""val"": 257, ""count"": 23}]","[{""val"": 1000.0, ""count"": 15}, {""val"": null, ""count"": 8}]",CC0,10.18112/openneuro.ds002312.v1.0.0
ds002336,0,0,0,,Unknown,Unknown,0,Unknown,18046628207.0,openneuro,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and fMRI acquisition during a motor imagery neurofeedback task: XP1,eeg,"[{""val"": 64, ""count"": 54}]","[{""val"": 5000.0, ""count"": 54}]",CC0,10.18112/openneuro.ds002336.v2.0.2
ds002338,0,0,0,,Unknown,Unknown,0,Unknown,26024158019.0,openneuro,A multi-modal human neuroimaging dataset for data integration: simultaneous EEG and fMRI acquisition during a motor imagery neurofeedback task: XP2,eeg,"[{""val"": 64, ""count"": 85}]","[{""val"": 5000.0, ""count"": 85}]",CC0,doi:10.18112/openneuro.ds002338.v2.0.2
ds002550,0,0,0,,Unknown,Unknown,0,Unknown,179848999649.0,openneuro,Differential brain mechanisms of selection and maintenance of information during working memory (MEG data),meg,"[{""val"": null, ""count"": 1175}, {""val"": 308, ""count"": 367}, {""val"": 307, ""count"": 8}, {""val"": 304, ""count"": 2}]","[{""val"": null, ""count"": 1175}, {""val"": 1200.0, ""count"": 374}, {""val"": 12000.0, ""count"": 3}]",CC0,10.18112/openneuro.ds002550.v1.0.1
ds002578,0,0,0,,Unknown,Unknown,0,Unknown,1429242343.0,openneuro,Visual Oddball Task (256 channels),eeg,"[{""val"": 256, ""count"": 2}]","[{""val"": 256.0, ""count"": 2}]",CC0,10.18112/openneuro.ds002578.v1.1.0
ds002680,0,0,0,,Unknown,Unknown,0,Unknown,9902131689.0,openneuro,Go-nogo categorization and detection task,eeg,"[{""val"": 31, ""count"": 350}]","[{""val"": 1000.0, ""count"": 350}]",CC0,10.18112/openneuro.ds002680.v1.2.0
ds002691,0,0,0,,Unknown,Unknown,0,Unknown,814480634.0,openneuro,Internal attention study,['eeg'],"[{""val"": 32, ""count"": 20}]","[{""val"": 250.0, ""count"": 20}]",CC0,10.18112/openneuro.ds002691.v1.1.0
ds002712,0,0,0,,Unknown,Unknown,0,Unknown,109278657976.0,openneuro,Numbers and Letters,meg,"[{""val"": 312, ""count"": 79}, {""val"": 361, ""count"": 2}, {""val"": 314, ""count"": 1}]","[{""val"": 1000.0, ""count"": 82}]",CC0,10.18112/openneuro.ds002712.v1.0.1
ds002718,0,0,0,,Unknown,Unknown,0,Unknown,4623904945.0,openneuro,Face processing EEG dataset for EEGLAB,eeg,"[{""val"": 74, ""count"": 18}]","[{""val"": 250.0, ""count"": 18}]",CC0,doi:10.18112/openneuro.ds002718.v1.1.0
ds002720,0,0,0,,Unknown,Unknown,0,Unknown,2563670728.0,openneuro,A  dataset  recorded  during  development  of a  tempo-based  brain-computer  music  interface,eeg,"[{""val"": 19, ""count"": 165}]","[{""val"": 1000.0, ""count"": 165}]",CC0,10.18112/openneuro.ds002720.v1.0.1
ds002721,0,0,0,,Unknown,Unknown,0,Unknown,3598850279.0,openneuro,An EEG dataset recorded during affective music listening,eeg,"[{""val"": 19, ""count"": 185}]","[{""val"": 1000.0, ""count"": 185}]",CC0,doi:10.18112/openneuro.ds002721.v1.0.3
ds002722,0,0,0,,Unknown,Unknown,0,Unknown,6545791966.0,openneuro,A dataset recorded during development of an affective brain-computer music interface: calibration session,['eeg'],"[{""val"": 37, ""count"": 94}]","[{""val"": 1000.0, ""count"": 94}]",CC0,10.18112/openneuro.ds002722.v1.0.1
ds002723,0,0,0,,Unknown,Unknown,0,Unknown,2789434877.0,openneuro,A dataset recorded during development of an affective brain-computer music interface: testing session,['eeg'],"[{""val"": 37, ""count"": 44}]","[{""val"": 1000.0, ""count"": 44}]",CC0,10.18112/openneuro.ds002723.v1.1.0
ds002724,0,0,0,,Unknown,Unknown,0,Unknown,9147071936.0,openneuro,A dataset recorded during development of an affective brain-computer music interface: training sessions,eeg,"[{""val"": 37, ""count"": 96}]","[{""val"": 1000.0, ""count"": 96}]",CC0,10.18112/openneuro.ds002724.v1.0.1
ds002725,0,0,0,,Unknown,Unknown,0,Unknown,16445696685.0,openneuro,A dataset recording joint EEG-fMRI during affective music listening ,eeg,"[{""val"": 46, ""count"": 105}]","[{""val"": 1000.0, ""count"": 105}]",CC0,10.18112/openneuro.ds002725.v1.0.0
ds002761,0,0,0,,Unknown,Unknown,0,Unknown,1758242.0,openneuro,memoryreplay,meg,"[{""val"": null, ""count"": 747}, {""val"": 273, ""count"": 249}]","[{""val"": null, ""count"": 747}, {""val"": 600.0, ""count"": 249}]",CC0,doi:10.18112/openneuro.ds002761.v1.1.2
ds002778,0,0,0,,Unknown,Unknown,0,Unknown,571470906.0,openneuro,UC San Diego Resting State EEG Data from Patients with Parkinson's Disease,eeg,"[{""val"": 41, ""count"": 46}]","[{""val"": 512.0, ""count"": 46}]",CC0,doi:10.18112/openneuro.ds002778.v1.0.5
ds002791,0,0,0,,Unknown,Unknown,0,Unknown,50562457196.0,openneuro,DataSet1,['eeg'],"[{""val"": 256, ""count"": 80}, {""val"": 257, ""count"": 12}]","[{""val"": 1000.0, ""count"": 92}]",CC0,10.18112/openneuro.ds002791.v1.0.0
ds002814,0,0,0,,Unknown,Unknown,0,Unknown,29779119341.0,openneuro,A Multimodal Neuroimaging Dataset to Study Spatiotemporal Dynamics of Visual Processing in Humans,eeg,"[{""val"": 72, ""count"": 168}]","[{""val"": 1200.0, ""count"": 168}]",CC0,doi:10.18112/openneuro.ds002814.v1.3.0
ds002833,0,0,0,,Unknown,Unknown,0,Unknown,42698181625.0,openneuro,DataSet2,eeg,"[{""val"": 257, ""count"": 80}]","[{""val"": 1000.0, ""count"": 80}]",CC0,10.18112/openneuro.ds002833.v1.0.0
ds002885,0,0,0,,Unknown,Unknown,0,Unknown,21543178912.0,openneuro,DBS Phantom Recordings,meg,"[{""val"": 306, ""count"": 4}, {""val"": 314, ""count"": 3}]","[{""val"": 19200.0, ""count"": 4}, {""val"": 3000.0, ""count"": 3}]",CC0,10.18112/openneuro.ds002885.v1.0.1
ds002893,0,0,0,,Unknown,Unknown,0,Unknown,8262777491.0,openneuro,Auditory-Visual Shift Study,eeg,"[{""val"": 36, ""count"": 52}]","[{""val"": 250.0, ""count"": 42}, {""val"": 250.0293378038558, ""count"": 10}]",CC0,doi:10.18112/openneuro.ds002893.v2.0.0
ds002908,0,0,0,,Unknown,Unknown,0,Unknown,64199908375.0,openneuro,Human MEG recordings during sequential conflict task,meg,"[{""val"": 270, ""count"": 53}, {""val"": null, ""count"": 53}]","[{""val"": null, ""count"": 53}, {""val"": 2400.0, ""count"": 53}]",CC0,10.18112/openneuro.ds002908.v1.0.0
ds003004,0,0,0,,Unknown,Unknown,0,Unknown,38704522994.0,openneuro,Imagined Emotion Study,eeg,"[{""val"": 219, ""count"": 3}, {""val"": 224, ""count"": 3}, {""val"": 221, ""count"": 2}, {""val"": 212, ""count"": 2}, {""val"": 214, ""count"": 2}, {""val"": 189, ""count"": 1}, {""val"": 208, ""count"": 1}, {""val"": 229, ""count"": 1}, {""val"": 235, ""count"": 1}, {""val"": 215, ""count"": 1}, {""val"": 201, ""count"": 1}, {""val"": 211, ""count"": 1}, {""val"": 218, ""count"": 1}, {""val"": 209, ""count"": 1}, {""val"": 134, ""count"": 1}, {""val"": 222, ""count"": 1}, {""val"": 220, ""count"": 1}, {""val"": 232, ""count"": 1}, {""val"": 206, ""count"": 1}, {""val"": 207, ""count"": 1}, {""val"": 231, ""count"": 1}, {""val"": 226, ""count"": 1}, {""val"": 227, ""count"": 1}, {""val"": 180, ""count"": 1}, {""val"": 196, ""count"": 1}, {""val"": 223, ""count"": 1}, {""val"": 213, ""count"": 1}]","[{""val"": 256.0, ""count"": 34}]",CC0,doi:10.18112/openneuro.ds003004.v1.1.1
ds003029,0,0,0,,Unknown,Unknown,0,Unknown,11083752416.0,openneuro,Epilepsy-iEEG-Multicenter-Dataset,ieeg,"[{""val"": 129, ""count"": 30}, {""val"": 132, ""count"": 8}, {""val"": 88, ""count"": 6}, {""val"": 135, ""count"": 6}, {""val"": 147, ""count"": 6}, {""val"": 123, ""count"": 6}, {""val"": 101, ""count"": 5}, {""val"": 91, ""count"": 4}, {""val"": 98, ""count"": 4}, {""val"": 81, ""count"": 3}, {""val"": 53, ""count"": 3}, {""val"": 110, ""count"": 3}, {""val"": 99, ""count"": 3}, {""val"": 80, ""count"": 3}, {""val"": 111, ""count"": 3}, {""val"": 60, ""count"": 3}, {""val"": 86, ""count"": 3}, {""val"": 89, ""count"": 3}, {""val"": 65, ""count"": 2}, {""val"": 216, ""count"": 1}, {""val"": 47, ""count"": 1}]","[{""val"": 1000.0, ""count"": 56}, {""val"": 999.4121105232217, ""count"": 13}, {""val"": 249.85355222464145, ""count"": 10}, {""val"": 999.9999999999999, ""count"": 9}, {""val"": 499.7071044492829, ""count"": 7}, {""val"": 1000.0000000000001, ""count"": 7}, {""val"": 2000.0000000000002, ""count"": 3}, {""val"": 1024.5997950800408, ""count"": 1}]",CC0,doi:10.18112/openneuro.ds003029.v1.0.7
ds003039,0,0,0,,Unknown,Unknown,0,Unknown,8402107239.0,openneuro,free walking study,['eeg'],"[{""val"": 67, ""count"": 19}]","[{""val"": 500.0, ""count"": 19}]",CC0,doi:10.18112/openneuro.ds003039.v1.0.2
ds003061,0,0,0,,Unknown,Unknown,0,Unknown,2421802195.0,openneuro,EEG data from an auditory oddball task,eeg,"[{""val"": 79, ""count"": 39}]","[{""val"": 256.0, ""count"": 39}]",CC0,doi:10.18112/openneuro.ds003061.v1.1.2
ds003078,0,0,0,,Unknown,Unknown,0,Unknown,11761361020.0,openneuro,PROBE iEEG,ieeg,"[{""val"": null, ""count"": 72}]","[{""val"": null, ""count"": 72}]",CC0,10.18112/openneuro.ds003078.v1.0.0
ds003082,0,0,0,,Unknown,Unknown,0,Unknown,14215257908.0,openneuro,Auditory Cortex Mapping Dataset,meg,"[{""val"": null, ""count"": 17}, {""val"": 300, ""count"": 2}, {""val"": 306, ""count"": 1}]","[{""val"": null, ""count"": 17}, {""val"": 12000.0, ""count"": 2}, {""val"": 2400.0, ""count"": 1}]",CC0,doi:10.18112/openneuro.ds003082.v1.0.1
ds003104,0,0,0,,Unknown,Unknown,0,Unknown,349944582.0,openneuro,MNE-somato-data-bids (anonymized),meg,"[{""val"": 316, ""count"": 1}]","[{""val"": 300.3074951171875, ""count"": 1}]",CC0,10.18112/openneuro.ds003104.v1.0.0
ds003190,0,0,0,,Unknown,Unknown,0,Unknown,1079425010.0,openneuro,Assesment of the visual stimuli properties in P300 paradigm,eeg,"[{""val"": 9, ""count"": 382}, {""val"": 10, ""count"": 2}]","[{""val"": 256.0, ""count"": 384}]",CC0,10.18112/openneuro.ds003190.v1.0.1
ds003194,0,0,0,,Unknown,Unknown,0,Unknown,198333437.0,openneuro,Neuroepo multisession,eeg,"[{""val"": 19, ""count"": 24}, {""val"": 20, ""count"": 4}, {""val"": 21, ""count"": 1}]","[{""val"": 200.0, ""count"": 29}]",CC0,doi:10.18112/openneuro.ds003194.v1.0.4
ds003195,0,0,0,,Unknown,Unknown,0,Unknown,126957087.0,openneuro,Placebo Neuroepo multisession,eeg,"[{""val"": 19, ""count"": 20}]","[{""val"": 200.0, ""count"": 20}]",CC0,doi:10.18112/openneuro.ds003195.v1.0.4
ds003343,0,0,0,,Unknown,Unknown,0,Unknown,695906632.0,openneuro,Disentangling the percepts of illusory movement and sensory stimulation during tendon vibration in the EEG,['eeg'],"[{""val"": 20, ""count"": 59}]","[{""val"": 500.0, ""count"": 59}]",CC0,10.18112/openneuro.ds003343.v2.0.1
ds003352,0,0,0,,Unknown,Unknown,0,Unknown,230094861741.0,openneuro, ,['meg'],"[{""val"": 323, ""count"": 138}]","[{""val"": 1000.0, ""count"": 138}]",CC0,10.18112/openneuro.ds003352.v1.0.0
ds003374,0,0,0,,Unknown,Unknown,0,Unknown,175461388.0,openneuro,Dataset of neurons and intracranial EEG from human amygdala during aversive dynamic visual stimulation,ieeg,"[{""val"": 4, ""count"": 10}, {""val"": 2, ""count"": 8}]","[{""val"": 2000.0, ""count"": 18}]",CC0,10.18112/openneuro.ds003374.v1.1.1
ds003380,0,0,0,,Unknown,Unknown,0,Unknown,20614209.0,openneuro,"Corticothalamic communication under analgesia, sedation and gradual ischemia: a multimodal model of controlled gradual cerebral ischemia in pig",eeg,[],[],CC0,10.18112/openneuro.ds003380.v1.0.0
ds003392,0,0,0,,Unknown,Unknown,0,Unknown,10818491467.0,openneuro,NeuroSpin hMT+ Localizer DATA (MEG & aMRI),meg,"[{""val"": 320, ""count"": 22}, {""val"": null, ""count"": 11}]","[{""val"": 2000.0, ""count"": 22}, {""val"": null, ""count"": 11}]",CC0,10.18112/openneuro.ds003392.v1.0.4
ds003420,0,0,0,,Unknown,Unknown,0,Unknown,97114249285.0,openneuro,HD-EEGtask(Dataset 1),['eeg'],"[{""val"": 256, ""count"": 80}, {""val"": 257, ""count"": 12}]","[{""val"": 1000.0, ""count"": 92}]",CC0,10.18112/openneuro.ds003420.v1.0.2
ds003421,0,0,0,,Unknown,Unknown,0,Unknown,42498451545.0,openneuro,HD-EEGtask(Dataset 2),eeg,"[{""val"": 257, ""count"": 80}]","[{""val"": 1000.0, ""count"": 80}]",CC0,10.18112/openneuro.ds003421.v1.0.2
ds003458,0,0,0,,Unknown,Unknown,0,Unknown,5065148524.0,openneuro,EEG: Three armed bandit gambling task,eeg,"[{""val"": 66, ""count"": 19}, {""val"": 64, ""count"": 4}]","[{""val"": 500.0, ""count"": 23}]",CC0,10.18112/openneuro.ds003458.v1.1.0
ds003474,0,0,0,,Unknown,Unknown,0,Unknown,17867698098.0,openneuro,EEG: Probabilistic Selection and Depression,eeg,"[{""val"": 66, ""count"": 72}, {""val"": 67, ""count"": 50}]","[{""val"": 500.0, ""count"": 122}]",CC0,10.18112/openneuro.ds003474.v1.1.0
ds003478,0,0,0,,Unknown,Unknown,0,Unknown,11431951135.0,openneuro,Rest,['eeg'],"[{""val"": 66, ""count"": 133}, {""val"": 67, ""count"": 110}]","[{""val"": 500.0, ""count"": 243}]",CC0,10.18112/openneuro.ds003478.v1.1.0
ds003483,0,0,0,,Unknown,Unknown,0,Unknown,73334444612.0,openneuro,Logical reasoning study,['meg'],"[{""val"": 320, ""count"": 41}]","[{""val"": 1000.0, ""count"": 41}]",CC0,10.18112/openneuro.ds003483.v1.0.2
ds003490,0,0,0,,Unknown,Unknown,0,Unknown,6276604033.0,openneuro,EEG: 3-Stim Auditory Oddball and Rest in Parkinson's,eeg,"[{""val"": 67, ""count"": 75}]","[{""val"": 500.0, ""count"": 75}]",CC0,10.18112/openneuro.ds003490.v1.1.0
ds003498,0,0,0,,Unknown,Unknown,0,Unknown,48030875385.0,openneuro,interictal iEEG during slow-wave sleep with HFO markings,['ieeg'],"[{""val"": 64, ""count"": 146}, {""val"": 40, ""count"": 73}, {""val"": 42, ""count"": 43}, {""val"": 74, ""count"": 35}, {""val"": 16, ""count"": 29}, {""val"": 50, ""count"": 28}, {""val"": 52, ""count"": 13}, {""val"": 48, ""count"": 13}, {""val"": 30, ""count"": 5}]","[{""val"": 2000.0, ""count"": 385}]",CC0,10.18112/openneuro.ds003498.v1.0.1
ds003505,0,0,0,,Unknown,Unknown,0,Unknown,62508267055.0,openneuro,VEPCON: Source imaging of high-density visual evoked potentials with multi-scale brain parcellations and connectomes,['eeg'],"[{""val"": 128, ""count"": 37}]","[{""val"": 2048.0, ""count"": 37}]",CC0,doi:10.18112/openneuro.ds003505.v1.1.1
ds003506,0,0,0,,Unknown,Unknown,0,Unknown,17399670602.0,openneuro,EEG: Reinforcement Learning in Parkinson's,eeg,"[{""val"": 67, ""count"": 84}]","[{""val"": 500.0, ""count"": 84}]",CC0,10.18112/openneuro.ds003506.v1.1.0
ds003509,0,0,0,,Unknown,Unknown,0,Unknown,23987498608.0,openneuro,EEG: Simon Conflict in Parkinson's,eeg,"[{""val"": 67, ""count"": 84}]","[{""val"": 500.0, ""count"": 84}]",CC0,10.18112/openneuro.ds003509.v1.1.0
ds003516,0,0,0,,Unknown,Unknown,0,Unknown,8152002419.0,openneuro,EEG: Attended Speaker Paradigm (Own Name in Ignored Stream),eeg,"[{""val"": 49, ""count"": 25}]","[{""val"": 500.0, ""count"": 25}]",CC0,doi:10.18112/openneuro.ds003516.v1.1.3
ds003517,0,0,0,,Unknown,Unknown,0,Unknown,6262665570.0,openneuro,EEG: Continuous gameplay of an 8-bit style video game,eeg,"[{""val"": 65, ""count"": 34}]","[{""val"": 500.0, ""count"": 34}]",CC0,10.18112/openneuro.ds003517.v1.1.0
